Date,Day_of_the_week,App,Minutes,Category
8/30/23,Wednesday,TIKTOK,66,Entertainment
8/30/23,Wednesday,CALCULATOR,50,Education
8/30/23,Wednesday,INSTAGRAM,17,Social Media
8/30/23,Wednesday,YOUTUBE,29,Entertainment
8/30/23,Wednesday,FANTASY FOOTBALL,20,Other
8/30/23,Wednesday,MESSAGES,33,Social Media
8/31/23,Thursday,TIKTOK,63,Entertainment
8/31/23,Thursday,MESSAGES,58,Social Media
8/31/23,Thursday,YOUTUBE,54,Entertainment
8/31/23,Thursday,NETFILX,45,Entertainment
8/31/23,Thursday,INSTAGRAM,38,Social Media
8/31/23,Thursday,SNAPCHAT,20,Social Media
9/1/23,Friday,TIKTOK,78,Entertainment
9/1/23,Friday,INSTAGRAM,50,Social Media
9/1/23,Friday,MESSAGES,34,Social Media
9/1/23,Friday,SAFARI,31,Other
9/1/23,Friday,YOUTUBE,31,Entertainment
9/1/23,Friday,MUSIC,11,Entertainment
9/1/23,Friday,SNAPCHAT,9,Social Media
9/2/23,Saturday,TIKTOK,92,Entertainment
9/2/23,Saturday,YOUTUBE,67,Entertainment
9/2/23,Saturday,ESPN,42,Other
9/2/23,Saturday,INSTAGRAM,37,Social Media
9/2/23,Saturday,MESSAGES,36,Social Media
9/2/23,Saturday,PRIZEPICKS,35,Other
9/2/23,Saturday,SNAPCHAT,11,Social Media
9/3/23,Sunday,TIKTOK,72,Entertainment
9/3/23,Sunday,NETFILX,75,Entertainment
9/3/23,Sunday,INSTAGRAM,54,Social Media
9/3/23,Sunday,MESSAGES,51,Social Media
9/3/23,Sunday,SAFARI,19,Other
9/3/23,Sunday,YOUTUBE,7,Entertainment
9/3/23,Sunday,MUSIC,10,Entertainment
9/4/23,Monday,TIKTOK,76,Entertainment
9/4/23,Monday,NETFILX,55,Entertainment
9/4/23,Monday,YOUTUBE,56,Entertainment
9/4/23,Monday,INSTAGRAM,46,Social Media
9/4/23,Monday,SAFARI,31,Other
9/4/23,Monday,MESSAGES,28,Social Media
9/4/23,Monday,SNAPCHAT,9,Social Media
9/5/23,Tuesday,TIKTOK,62,Entertainment
9/5/23,Tuesday,MESSAGES,42,Social Media
9/5/23,Tuesday,YOUTUBE,36,Entertainment
9/5/23,Tuesday,INSTAGRAM,34,Social Media
9/5/23,Tuesday,CALCULATOR,18,Education
9/5/23,Tuesday,SAFARI,20,Other
